day,junior_hours,junior_capacity,senior_hours,senior_capacity,fellow_hours,fellow_capacity,app_hours,app_capacity,total_provider_hours,total_patient_capacity_9h
1,0,0,36,54,9,18,27,54,126,3.15
2,18,4.5,36,54,0,0,18,36,94.5,2.3625
3,18,4.5,27,40.5,0,0,27,54,99,2.475
4,27,6.75,9,13.5,9,18,27,54,92.25,2.30625
5,27,6.75,27,40.5,9,18,9,18,83.25,2.08125
6,27,6.75,27,40.5,9,18,9,18,83.25,2.08125
7,27,6.75,36,54,0,0,9,18,78.75,1.96875
8,27,6.75,27,40.5,0,0,27,54,101.25,2.53125
9,18,4.5,36,54,0,0,27,54,112.5,2.8125
10,18,4.5,18,27,9,18,27,54,103.5,2.5875
11,27,6.75,18,27,0,0,27,54,87.75,2.19375
12,36,9,36,54,0,0,9,18,81,2.025
13,27,6.75,36,54,0,0,9,18,78.75,1.96875
14,27,6.75,27,40.5,0,0,18,36,83.25,2.08125
15,27,6.75,27,40.5,0,0,27,54,101.25,2.53125
16,18,4.5,36,54,0,0,27,54,112.5,2.8125
17,18,4.5,27,40.5,9,18,27,54,117,2.925
18,27,6.75,18,27,0,0,27,54,87.75,2.19375
19,27,6.75,27,40.5,9,18,9,18,83.25,2.08125
20,27,6.75,27,40.5,9,18,9,18,83.25,2.08125
21,27,6.75,27,40.5,0,0,18,36,83.25,2.08125
22,36,9,27,40.5,0,0,27,54,103.5,2.5875
23,18,4.5,36,54,0,0,27,54,112.5,2.8125
24,18,4.5,18,27,9,18,27,54,103.5,2.5875
25,27,6.75,18,27,0,0,27,54,87.75,2.19375
26,36,9,36,54,0,0,9,18,81,2.025
27,27,6.75,36,54,0,0,9,18,78.75,1.96875
28,27,6.75,27,40.5,0,0,18,36,83.25,2.08125
