hour,season,census_mean,census_p95,wr_mean,wr_p95,staffing_capacity,patients_per_provider,demand_gap,demand_gap_p95
0,winter,23.0,37.0,6.0,13.0,0,0,23.0,37.0
1,winter,20.0,33.0,4.0,9.0,0,0,20.0,33.0
2,winter,17.0,29.0,3.0,8.0,0,0,17.0,29.0
3,winter,15.0,25.0,3.0,6.0,0,0,15.0,25.0
4,winter,13.0,23.0,2.0,5.0,0,0,13.0,23.0
5,winter,12.0,21.0,2.0,5.0,0,0,12.0,21.0
6,winter,11.0,19.0,2.0,5.0,0,0,11.0,19.0
7,winter,11.0,20.0,3.0,6.0,0,0,11.0,20.0
8,winter,13.0,23.0,4.0,10.0,0,0,13.0,23.0
9,winter,17.0,29.0,7.0,14.0,0,0,17.0,29.0
10,winter,20.0,32.0,8.0,16.0,0,0,20.0,32.0
11,winter,23.0,36.0,9.0,18.0,0,0,23.0,36.0
12,winter,25.0,40.0,9.0,19.0,0,0,25.0,40.0
13,winter,26.0,41.0,9.0,19.0,0,0,26.0,41.0
14,winter,26.0,41.0,9.0,20.0,0,0,26.0,41.0
15,winter,27.0,42.0,9.0,19.0,0,0,27.0,42.0
16,winter,28.0,44.0,10.0,21.0,0,0,28.0,44.0
17,winter,29.0,47.0,11.0,20.0,0,0,29.0,47.0
18,winter,30.0,46.0,11.0,20.0,0,0,30.0,46.0
19,winter,31.0,47.0,11.0,22.0,0,0,31.0,47.0
20,winter,31.0,47.0,11.0,20.0,0,0,31.0,47.0
21,winter,30.0,46.0,10.0,18.0,0,0,30.0,46.0
22,winter,28.0,44.0,9.0,17.0,0,0,28.0,44.0
23,winter,26.0,41.0,7.0,15.0,0,0,26.0,41.0
0,summer,22.0,34.0,5.0,12.0,0,0,22.0,34.0
1,summer,19.0,31.0,4.0,8.0,0,0,19.0,31.0
2,summer,16.0,26.0,2.0,7.0,0,0,16.0,26.0
3,summer,13.0,23.0,2.0,5.0,0,0,13.0,23.0
4,summer,11.0,20.0,2.0,4.0,0,0,11.0,20.0
5,summer,10.0,18.0,1.0,4.0,0,0,10.0,18.0
6,summer,9.0,16.0,1.0,4.0,0,0,9.0,16.0
7,summer,9.0,17.0,2.0,5.0,0,0,9.0,17.0
8,summer,11.0,19.0,3.0,8.0,0,0,11.0,19.0
9,summer,13.0,24.0,5.0,11.0,0,0,13.0,24.0
10,summer,16.0,28.0,6.0,12.0,0,0,16.0,28.0
11,summer,17.0,32.0,6.0,13.0,0,0,17.0,32.0
12,summer,19.0,33.0,6.0,13.0,0,0,19.0,33.0
13,summer,20.0,34.0,7.0,13.0,0,0,20.0,34.0
14,summer,21.0,34.0,7.0,13.0,0,0,21.0,34.0
15,summer,21.0,34.0,7.0,14.0,0,0,21.0,34.0
16,summer,23.0,36.0,8.0,14.0,0,0,23.0,36.0
17,summer,24.0,37.0,8.0,15.0,0,0,24.0,37.0
18,summer,26.0,39.0,9.0,18.0,0,0,26.0,39.0
19,summer,27.0,42.0,10.0,18.0,0,0,27.0,42.0
20,summer,28.0,42.0,10.0,17.0,0,0,28.0,42.0
21,summer,28.0,42.0,10.0,17.0,0,0,28.0,42.0
22,summer,27.0,40.0,8.0,15.0,0,0,27.0,40.0
23,summer,25.0,37.0,7.0,14.0,0,0,25.0,37.0
