hour,arrivals_mean,discharges_mean,admits_mean,net_flow,cumulative_net_flow
0,2.0,4.0,0.6,-2.6,-2.6
1,2.0,3.0,0.6,-1.6,-4.2
2,2.0,3.0,0.5,-1.5,-5.7
3,1.0,2.0,0.4,-1.4,-7.1
4,1.0,2.0,0.4,-1.4,-8.5
5,1.0,2.0,0.4,-1.4,-9.9
6,1.0,2.0,0.3,-1.3,-11.2
7,2.0,1.0,0.1,0.9,-10.3
8,4.0,1.0,0.3,2.7,-7.6
9,5.0,2.0,0.4,2.6,-5.0
10,5.0,3.0,0.3,1.7,-3.3
11,6.0,3.0,0.4,2.6,-0.7
12,6.0,4.0,0.4,1.6,0.9
13,5.0,4.0,0.4,0.6,1.5
14,5.0,4.0,0.5,0.5,2.0
15,6.0,5.0,0.6,0.4,2.4
16,6.0,5.0,0.6,0.4,2.8
17,6.0,5.0,0.7,0.3,3.1
18,6.0,5.0,0.5,0.5,3.6
19,6.0,5.0,0.4,0.6,4.2
20,6.0,5.0,0.8,0.2,4.4
21,5.0,5.0,0.9,-0.9,3.5
22,4.0,5.0,0.7,-1.7,1.8
23,3.0,4.0,0.7,-1.7,0.1
