day,total_provider_hours,total_capacity,junior_hours,senior_hours,fellow_hours,app_hours,risk_score,capacity_vs_mean_pct
1,126.0,3.15,0.0,36.0,9.0,27.0,low,34.5
2,94.5,2.3625,18.0,36.0,0.0,18.0,low,0.9
3,99.0,2.475,18.0,27.0,0.0,27.0,low,5.7
4,92.25,2.30625,27.0,9.0,9.0,27.0,medium,-1.5
5,83.25,2.08125,27.0,27.0,9.0,9.0,medium,-11.1
6,83.25,2.08125,27.0,27.0,9.0,9.0,medium,-11.1
7,78.75,1.96875,27.0,36.0,0.0,9.0,high,-16.0
8,101.25,2.53125,27.0,27.0,0.0,27.0,low,8.1
9,112.5,2.8125,18.0,36.0,0.0,27.0,low,20.1
10,103.5,2.5875,18.0,18.0,9.0,27.0,low,10.5
11,87.75,2.19375,27.0,18.0,0.0,27.0,medium,-6.3
12,81.0,2.025,36.0,36.0,0.0,9.0,medium,-13.6
13,78.75,1.96875,27.0,36.0,0.0,9.0,high,-16.0
14,83.25,2.08125,27.0,27.0,0.0,18.0,medium,-11.1
15,101.25,2.53125,27.0,27.0,0.0,27.0,low,8.1
16,112.5,2.8125,18.0,36.0,0.0,27.0,low,20.1
17,117.0,2.925,18.0,27.0,9.0,27.0,low,24.9
18,87.75,2.19375,27.0,18.0,0.0,27.0,medium,-6.3
19,83.25,2.08125,27.0,27.0,9.0,9.0,medium,-11.1
20,83.25,2.08125,27.0,27.0,9.0,9.0,medium,-11.1
21,83.25,2.08125,27.0,27.0,0.0,18.0,medium,-11.1
22,103.5,2.5875,36.0,27.0,0.0,27.0,low,10.5
23,112.5,2.8125,18.0,36.0,0.0,27.0,low,20.1
24,103.5,2.5875,18.0,18.0,9.0,27.0,low,10.5
25,87.75,2.19375,27.0,18.0,0.0,27.0,medium,-6.3
26,81.0,2.025,36.0,36.0,0.0,9.0,medium,-13.6
27,78.75,1.96875,27.0,36.0,0.0,9.0,high,-16.0
28,83.25,2.08125,27.0,27.0,0.0,18.0,medium,-11.1
