hour,category,metric,winter_value,summer_value,difference,pct_change
0,census,mean,23.0,22.0,1.0,4.5
1,census,mean,20.0,19.0,1.0,5.3
2,census,mean,17.0,16.0,1.0,6.2
3,census,mean,15.0,13.0,2.0,15.4
4,census,mean,13.0,11.0,2.0,18.2
5,census,mean,12.0,10.0,2.0,20.0
6,census,mean,11.0,9.0,2.0,22.2
7,census,mean,11.0,9.0,2.0,22.2
8,census,mean,13.0,11.0,2.0,18.2
9,census,mean,17.0,13.0,4.0,30.8
10,census,mean,20.0,16.0,4.0,25.0
11,census,mean,23.0,17.0,6.0,35.3
12,census,mean,25.0,19.0,6.0,31.6
13,census,mean,26.0,20.0,6.0,30.0
14,census,mean,26.0,21.0,5.0,23.8
15,census,mean,27.0,21.0,6.0,28.6
16,census,mean,28.0,23.0,5.0,21.7
17,census,mean,29.0,24.0,5.0,20.8
18,census,mean,30.0,26.0,4.0,15.4
19,census,mean,31.0,27.0,4.0,14.8
20,census,mean,31.0,28.0,3.0,10.7
21,census,mean,30.0,28.0,2.0,7.1
22,census,mean,28.0,27.0,1.0,3.7
23,census,mean,26.0,25.0,1.0,4.0
0,census,p95,37.0,34.0,3.0,8.8
1,census,p95,33.0,31.0,2.0,6.5
2,census,p95,29.0,26.0,3.0,11.5
3,census,p95,25.0,23.0,2.0,8.7
4,census,p95,23.0,20.0,3.0,15.0
5,census,p95,21.0,18.0,3.0,16.7
6,census,p95,19.0,16.0,3.0,18.8
7,census,p95,20.0,17.0,3.0,17.6
8,census,p95,23.0,19.0,4.0,21.1
9,census,p95,29.0,24.0,5.0,20.8
10,census,p95,32.0,28.0,4.0,14.3
11,census,p95,36.0,32.0,4.0,12.5
12,census,p95,40.0,33.0,7.0,21.2
13,census,p95,41.0,34.0,7.0,20.6
14,census,p95,41.0,34.0,7.0,20.6
15,census,p95,42.0,34.0,8.0,23.5
16,census,p95,44.0,36.0,8.0,22.2
17,census,p95,47.0,37.0,10.0,27.0
18,census,p95,46.0,39.0,7.0,17.9
19,census,p95,47.0,42.0,5.0,11.9
20,census,p95,47.0,42.0,5.0,11.9
21,census,p95,46.0,42.0,4.0,9.5
22,census,p95,44.0,40.0,4.0,10.0
23,census,p95,41.0,37.0,4.0,10.8
0,wr,mean,6.0,5.0,1.0,20.0
1,wr,mean,4.0,4.0,0.0,0.0
2,wr,mean,3.0,2.0,1.0,50.0
3,wr,mean,3.0,2.0,1.0,50.0
4,wr,mean,2.0,2.0,0.0,0.0
5,wr,mean,2.0,1.0,1.0,100.0
6,wr,mean,2.0,1.0,1.0,100.0
7,wr,mean,3.0,2.0,1.0,50.0
8,wr,mean,4.0,3.0,1.0,33.3
9,wr,mean,7.0,5.0,2.0,40.0
10,wr,mean,8.0,6.0,2.0,33.3
11,wr,mean,9.0,6.0,3.0,50.0
12,wr,mean,9.0,6.0,3.0,50.0
13,wr,mean,9.0,7.0,2.0,28.6
14,wr,mean,9.0,7.0,2.0,28.6
15,wr,mean,9.0,7.0,2.0,28.6
16,wr,mean,10.0,8.0,2.0,25.0
17,wr,mean,11.0,8.0,3.0,37.5
18,wr,mean,11.0,9.0,2.0,22.2
19,wr,mean,11.0,10.0,1.0,10.0
20,wr,mean,11.0,10.0,1.0,10.0
21,wr,mean,10.0,10.0,0.0,0.0
22,wr,mean,9.0,8.0,1.0,12.5
23,wr,mean,7.0,7.0,0.0,0.0
0,wr,p95,13.0,12.0,1.0,8.3
1,wr,p95,9.0,8.0,1.0,12.5
2,wr,p95,8.0,7.0,1.0,14.3
3,wr,p95,6.0,5.0,1.0,20.0
4,wr,p95,5.0,4.0,1.0,25.0
5,wr,p95,5.0,4.0,1.0,25.0
6,wr,p95,5.0,4.0,1.0,25.0
7,wr,p95,6.0,5.0,1.0,20.0
8,wr,p95,10.0,8.0,2.0,25.0
9,wr,p95,14.0,11.0,3.0,27.3
10,wr,p95,16.0,12.0,4.0,33.3
11,wr,p95,18.0,13.0,5.0,38.5
12,wr,p95,19.0,13.0,6.0,46.2
13,wr,p95,19.0,13.0,6.0,46.2
14,wr,p95,20.0,13.0,7.0,53.8
15,wr,p95,19.0,14.0,5.0,35.7
16,wr,p95,21.0,14.0,7.0,50.0
17,wr,p95,20.0,15.0,5.0,33.3
18,wr,p95,20.0,18.0,2.0,11.1
19,wr,p95,22.0,18.0,4.0,22.2
20,wr,p95,20.0,17.0,3.0,17.6
21,wr,p95,18.0,17.0,1.0,5.9
22,wr,p95,17.0,15.0,2.0,13.3
23,wr,p95,15.0,14.0,1.0,7.1
0,arrivals,mean,2.0,2.0,0.0,0.0
1,arrivals,mean,2.0,2.0,0.0,0.0
2,arrivals,mean,2.0,1.0,1.0,100.0
3,arrivals,mean,1.0,1.0,0.0,0.0
4,arrivals,mean,1.0,1.0,0.0,0.0
5,arrivals,mean,1.0,1.0,0.0,0.0
6,arrivals,mean,1.0,1.0,0.0,0.0
7,arrivals,mean,2.0,2.0,0.0,0.0
8,arrivals,mean,4.0,3.0,1.0,33.3
9,arrivals,mean,5.0,4.0,1.0,25.0
10,arrivals,mean,5.0,4.0,1.0,25.0
11,arrivals,mean,6.0,5.0,1.0,20.0
12,arrivals,mean,6.0,4.0,2.0,50.0
13,arrivals,mean,5.0,5.0,0.0,0.0
14,arrivals,mean,5.0,4.0,1.0,25.0
15,arrivals,mean,6.0,5.0,1.0,20.0
16,arrivals,mean,6.0,5.0,1.0,20.0
17,arrivals,mean,6.0,6.0,0.0,0.0
18,arrivals,mean,6.0,6.0,0.0,0.0
19,arrivals,mean,6.0,6.0,0.0,0.0
20,arrivals,mean,6.0,6.0,0.0,0.0
21,arrivals,mean,5.0,5.0,0.0,0.0
22,arrivals,mean,4.0,4.0,0.0,0.0
23,arrivals,mean,3.0,3.0,0.0,0.0
0,arrivals,p95,6.0,5.0,1.0,20.0
1,arrivals,p95,5.0,4.0,1.0,25.0
2,arrivals,p95,4.0,4.0,0.0,0.0
3,arrivals,p95,4.0,3.0,1.0,33.3
4,arrivals,p95,3.0,3.0,0.0,0.0
5,arrivals,p95,3.0,3.0,0.0,0.0
