season,category,metric,hour,value
winter,arrivals,mean,0,2
winter,arrivals,mean,1,2
winter,arrivals,mean,2,2
winter,arrivals,mean,3,1
winter,arrivals,mean,4,1
winter,arrivals,mean,5,1
winter,arrivals,mean,6,1
winter,arrivals,mean,7,2
winter,arrivals,mean,8,4
winter,arrivals,mean,9,5
winter,arrivals,mean,10,5
winter,arrivals,mean,11,6
winter,arrivals,mean,12,6
winter,arrivals,mean,13,5
winter,arrivals,mean,14,5
winter,arrivals,mean,15,6
winter,arrivals,mean,16,6
winter,arrivals,mean,17,6
winter,arrivals,mean,18,6
winter,arrivals,mean,19,6
winter,arrivals,mean,20,6
winter,arrivals,mean,21,5
winter,arrivals,mean,22,4
winter,arrivals,mean,23,3
winter,arrivals,median,0,2
winter,arrivals,median,1,2
winter,arrivals,median,2,1
winter,arrivals,median,3,1
winter,arrivals,median,4,1
winter,arrivals,median,5,1
winter,arrivals,median,6,1
winter,arrivals,median,7,2
winter,arrivals,median,8,3
winter,arrivals,median,9,5
winter,arrivals,median,10,5
winter,arrivals,median,11,6
winter,arrivals,median,12,6
winter,arrivals,median,13,5
winter,arrivals,median,14,5
winter,arrivals,median,15,6
winter,arrivals,median,16,6
winter,arrivals,median,17,6
winter,arrivals,median,18,6
winter,arrivals,median,19,6
winter,arrivals,median,20,6
winter,arrivals,median,21,5
winter,arrivals,median,22,4
winter,arrivals,median,23,3
winter,arrivals,25%_delta,0,1
winter,arrivals,25%_delta,1,1
winter,arrivals,25%_delta,2,0
winter,arrivals,25%_delta,3,1
winter,arrivals,25%_delta,4,1
winter,arrivals,25%_delta,5,1
winter,arrivals,25%_delta,6,1
winter,arrivals,25%_delta,7,1
winter,arrivals,25%_delta,8,1
winter,arrivals,25%_delta,9,2
winter,arrivals,25%_delta,10,2
winter,arrivals,25%_delta,11,2
winter,arrivals,25%_delta,12,2
winter,arrivals,25%_delta,13,2
winter,arrivals,25%_delta,14,2
winter,arrivals,25%_delta,15,2
winter,arrivals,25%_delta,16,2
winter,arrivals,25%_delta,17,1
winter,arrivals,25%_delta,18,2
winter,arrivals,25%_delta,19,2
winter,arrivals,25%_delta,20,2
winter,arrivals,25%_delta,21,2
winter,arrivals,25%_delta,22,1
winter,arrivals,25%_delta,23,1
winter,arrivals,p25,0,1
winter,arrivals,p25,1,1
winter,arrivals,p25,2,1
winter,arrivals,p25,3,0
winter,arrivals,p25,4,0
winter,arrivals,p25,5,0
winter,arrivals,p25,6,0
winter,arrivals,p25,7,1
winter,arrivals,p25,8,2
winter,arrivals,p25,9,3
winter,arrivals,p25,10,3
winter,arrivals,p25,11,4
winter,arrivals,p25,12,4
winter,arrivals,p25,13,3
winter,arrivals,p25,14,3
winter,arrivals,p25,15,4
winter,arrivals,p25,16,4
winter,arrivals,p25,17,5
winter,arrivals,p25,18,4
winter,arrivals,p25,19,4
winter,arrivals,p25,20,4
winter,arrivals,p25,21,3
winter,arrivals,p25,22,3
winter,arrivals,p25,23,2
winter,arrivals,p75,0,4
winter,arrivals,p75,1,3
winter,arrivals,p75,2,2
winter,arrivals,p75,3,2
winter,arrivals,p75,4,2
winter,arrivals,p75,5,2
winter,arrivals,p75,6,2
winter,arrivals,p75,7,3
winter,arrivals,p75,8,5
winter,arrivals,p75,9,7
winter,arrivals,p75,10,7
winter,arrivals,p75,11,8
winter,arrivals,p75,12,7
winter,arrivals,p75,13,7
winter,arrivals,p75,14,6
winter,arrivals,p75,15,7
winter,arrivals,p75,16,8
winter,arrivals,p75,17,8
winter,arrivals,p75,18,8
winter,arrivals,p75,19,8
winter,arrivals,p75,20,7
winter,arrivals,p75,21,7
winter,arrivals,p75,22,5
winter,arrivals,p75,23,4
winter,arrivals,95%_delta,0,4
winter,arrivals,95%_delta,1,3
winter,arrivals,95%_delta,2,3
winter,arrivals,95%_delta,3,3
winter,arrivals,95%_delta,4,2
winter,arrivals,95%_delta,5,2
winter,arrivals,95%_delta,6,3
winter,arrivals,95%_delta,7,3
winter,arrivals,95%_delta,8,5
winter,arrivals,95%_delta,9,6
winter,arrivals,95%_delta,10,5
winter,arrivals,95%_delta,11,4
winter,arrivals,95%_delta,12,5
winter,arrivals,95%_delta,13,5
winter,arrivals,95%_delta,14,5
winter,arrivals,95%_delta,15,5
winter,arrivals,95%_delta,16,6
winter,arrivals,95%_delta,17,5
winter,arrivals,95%_delta,18,5
winter,arrivals,95%_delta,19,6
winter,arrivals,95%_delta,20,4
winter,arrivals,95%_delta,21,4
winter,arrivals,95%_delta,22,4
winter,arrivals,95%_delta,23,3
winter,arrivals,p95,0,6
winter,arrivals,p95,1,5
winter,arrivals,p95,2,4
winter,arrivals,p95,3,4
winter,arrivals,p95,4,3
winter,arrivals,p95,5,3
winter,arrivals,p95,6,4
winter,arrivals,p95,7,5
winter,arrivals,p95,8,8
winter,arrivals,p95,9,11
winter,arrivals,p95,10,10
winter,arrivals,p95,11,10
winter,arrivals,p95,12,11
winter,arrivals,p95,13,10
winter,arrivals,p95,14,10
winter,arrivals,p95,15,11
winter,arrivals,p95,16,12
winter,arrivals,p95,17,11
winter,arrivals,p95,18,11
winter,arrivals,p95,19,12
winter,arrivals,p95,20,10
winter,arrivals,p95,21,9
winter,arrivals,p95,22,8
winter,arrivals,p95,23,6
winter,arrivals,stdev,0,2
winter,arrivals,stdev,1,1
winter,arrivals,stdev,2,1
winter,arrivals,stdev,3,1
winter,arrivals,stdev,4,1
winter,arrivals,stdev,5,1
winter,arrivals,stdev,6,1
winter,arrivals,stdev,7,2
winter,arrivals,stdev,8,2
winter,arrivals,stdev,9,3
winter,arrivals,stdev,10,3
winter,arrivals,stdev,11,3
winter,arrivals,stdev,12,3
winter,arrivals,stdev,13,3
winter,arrivals,stdev,14,3
winter,arrivals,stdev,15,3
winter,arrivals,stdev,16,3
winter,arrivals,stdev,17,3
winter,arrivals,stdev,18,3
winter,arrivals,stdev,19,3
winter,arrivals,stdev,20,2
winter,arrivals,stdev,21,2
winter,arrivals,stdev,22,2
winter,arrivals,stdev,23,2
winter,bed_assignment,mean,0,3
winter,bed_assignment,mean,1,3
winter,bed_assignment,mean,2,2
winter,bed_assignment,mean,3,2
winter,bed_assignment,mean,4,1
winter,bed_assignment,mean,5,1
winter,bed_assignment,mean,6,1
winter,bed_assignment,mean,7,2
winter,bed_assignment,mean,8,3
winter,bed_assignment,mean,9,4
winter,bed_assignment,mean,10,5
winter,bed_assignment,mean,11,5
winter,bed_assignment,mean,12,6
winter,bed_assignment,mean,13,5
winter,bed_assignment,mean,14,5
winter,bed_assignment,mean,15,5
winter,bed_assignment,mean,16,6
winter,bed_assignment,mean,17,6
winter,bed_assignment,mean,18,5
winter,bed_assignment,mean,19,6
winter,bed_assignment,mean,20,6
winter,bed_assignment,mean,21,5
winter,bed_assignment,mean,22,5
winter,bed_assignment,mean,23,4
winter,bed_assignment,median,0,3
winter,bed_assignment,median,1,2
winter,bed_assignment,median,2,2
winter,bed_assignment,median,3,2
winter,bed_assignment,median,4,1
winter,bed_assignment,median,5,1
winter,bed_assignment,median,6,1
winter,bed_assignment,median,7,2
winter,bed_assignment,median,8,3
winter,bed_assignment,median,9,4
winter,bed_assignment,median,10,5
winter,bed_assignment,median,11,5
winter,bed_assignment,median,12,5
winter,bed_assignment,median,13,5
winter,bed_assignment,median,14,5
winter,bed_assignment,median,15,5
winter,bed_assignment,median,16,6
winter,bed_assignment,median,17,5
winter,bed_assignment,median,18,5
winter,bed_assignment,median,19,5
winter,bed_assignment,median,20,6
winter,bed_assignment,median,21,5
winter,bed_assignment,median,22,5
winter,bed_assignment,median,23,4
winter,bed_assignment,p25,0,2
winter,bed_assignment,p25,1,1
winter,bed_assignment,p25,2,1
winter,bed_assignment,p25,3,1
winter,bed_assignment,p25,4,0
winter,bed_assignment,p25,5,0
winter,bed_assignment,p25,6,0
winter,bed_assignment,p25,7,1
winter,bed_assignment,p25,8,2
winter,bed_assignment,p25,9,3
winter,bed_assignment,p25,10,3
winter,bed_assignment,p25,11,4
winter,bed_assignment,p25,12,4
winter,bed_assignment,p25,13,3
winter,bed_assignment,p25,14,3
winter,bed_assignment,p25,15,4
winter,bed_assignment,p25,16,4
winter,bed_assignment,p25,17,4
winter,bed_assignment,p25,18,4
winter,bed_assignment,p25,19,4
winter,bed_assignment,p25,20,4
winter,bed_assignment,p25,21,4
winter,bed_assignment,p25,22,3
winter,bed_assignment,p25,23,2
winter,bed_assignment,p75,0,5
winter,bed_assignment,p75,1,3
winter,bed_assignment,p75,2,3
winter,bed_assignment,p75,3,3
winter,bed_assignment,p75,4,2
winter,bed_assignment,p75,5,2
winter,bed_assignment,p75,6,2
winter,bed_assignment,p75,7,3
winter,bed_assignment,p75,8,4
winter,bed_assignment,p75,9,5
winter,bed_assignment,p75,10,6
winter,bed_assignment,p75,11,7
winter,bed_assignment,p75,12,7
winter,bed_assignment,p75,13,6
winter,bed_assignment,p75,14,6
winter,bed_assignment,p75,15,7
winter,bed_assignment,p75,16,7
winter,bed_assignment,p75,17,7
winter,bed_assignment,p75,18,7
winter,bed_assignment,p75,19,7
winter,bed_assignment,p75,20,7
winter,bed_assignment,p75,21,6
winter,bed_assignment,p75,22,6
winter,bed_assignment,p75,23,5
winter,bed_assignment,p95,0,7
winter,bed_assignment,p95,1,5
