category,metric,hour,value
census,mean,0,21.770492
census,mean,1,18.672131
census,mean,2,15.693989
census,mean,3,13.224044
census,mean,4,11.300546
census,mean,5,9.901639
census,mean,6,9.010929
census,mean,7,8.997268
census,mean,8,10.68306
census,mean,9,13.240437
census,mean,10,15.538251
census,mean,11,17.459016
census,mean,12,18.882514
census,mean,13,19.961749
census,mean,14,20.901639
census,mean,15,21.42623
census,mean,16,22.655738
census,mean,17,24.106557
census,mean,18,25.748634
census,mean,19,27.163934
census,mean,20,28.265027
census,mean,21,28.330601
census,mean,22,26.745902
census,mean,23,24.898907
census,median,0,22
census,median,1,18
census,median,2,15
census,median,3,13
census,median,4,11
census,median,5,9
census,median,6,8
census,median,7,8
census,median,8,10
census,median,9,12
census,median,10,14
census,median,11,16
census,median,12,18
census,median,13,19
census,median,14,20
census,median,15,20
census,median,16,21
census,median,17,23
census,median,18,25
census,median,19,27
census,median,20,28
census,median,21,28
census,median,22,26
census,median,23,24.5
census,p25,0,17
census,p25,1,13
census,p25,2,11
census,p25,3,9
census,p25,4,7
census,p25,5,6
census,p25,6,6
census,p25,7,6
census,p25,8,7
census,p25,9,9
census,p25,10,10
census,p25,11,12
census,p25,12,14
census,p25,13,15
census,p25,14,17
census,p25,15,17
census,p25,16,18
census,p25,17,19
census,p25,18,20
census,p25,19,21
census,p25,20,23
census,p25,21,23
census,p25,22,21
census,p25,23,20
census,p75,0,26
census,p75,1,23
census,p75,2,20
census,p75,3,17
census,p75,4,14
census,p75,5,13
census,p75,6,11
census,p75,7,11
census,p75,8,13
census,p75,9,17
census,p75,10,20
census,p75,11,21
census,p75,12,23
census,p75,13,24
census,p75,14,24.75
census,p75,15,25
census,p75,16,27
census,p75,17,28
census,p75,18,30
census,p75,19,32
census,p75,20,34
census,p75,21,33
census,p75,22,32
census,p75,23,30
census,p95,0,34
census,p95,1,31
census,p95,2,26
census,p95,3,23
census,p95,4,20
census,p95,5,18
census,p95,6,16
census,p95,7,17
census,p95,8,19
census,p95,9,24
census,p95,10,27.75
census,p95,11,32
census,p95,12,32.75
census,p95,13,34
census,p95,14,34
census,p95,15,34
census,p95,16,36
census,p95,17,37
census,p95,18,39
census,p95,19,41.75
census,p95,20,42
census,p95,21,42
census,p95,22,40
census,p95,23,37
census,stdev,0,7.053751
census,stdev,1,6.715481
census,stdev,2,6.108545
census,stdev,3,5.326498
census,stdev,4,4.919333
census,stdev,5,4.474114
census,stdev,6,4.114111
census,stdev,7,4.114457
census,stdev,8,4.519436
census,stdev,9,5.836316
census,stdev,10,6.643766
census,stdev,11,7.052229
census,stdev,12,7.397139
census,stdev,13,7.199213
census,stdev,14,6.886648
census,stdev,15,6.853758
census,stdev,16,6.734215
census,stdev,17,7.157111
census,stdev,18,7.711737
census,stdev,19,7.823072
census,stdev,20,7.95661
census,stdev,21,7.79269
census,stdev,22,7.565851
