category,metric,hour,value
census,mean,0,22.802857
census,mean,1,19.554286
census,mean,2,17.091429
census,mean,3,15.128571
census,mean,4,13.362857
census,mean,5,12.04
census,mean,6,11.177143
census,mean,7,11.3
census,mean,8,13.342857
census,mean,9,17.171429
census,mean,10,20.2
census,mean,11,22.902857
census,mean,12,25.268571
census,mean,13,26.068571
census,mean,14,26.26
census,mean,15,26.917143
census,mean,16,27.648571
census,mean,17,28.974286
census,mean,18,29.862857
census,mean,19,30.782857
census,mean,20,31.011429
census,mean,21,29.988571
census,mean,22,28.337143
census,mean,23,25.722857
census,median,0,22
census,median,1,19
census,median,2,16
census,median,3,14
census,median,4,13
census,median,5,11
census,median,6,10
census,median,7,10
census,median,8,13
census,median,9,16
census,median,10,20
census,median,11,22
census,median,12,25
census,median,13,25
census,median,14,25
census,median,15,26
census,median,16,26.5
census,median,17,28
census,median,18,29
census,median,19,30
census,median,20,30
census,median,21,29
census,median,22,27
census,median,23,25
census,p25,0,17
census,p25,1,15
census,p25,2,12
census,p25,3,11
census,p25,4,9.25
census,p25,5,9
census,p25,6,8
census,p25,7,8
census,p25,8,10
census,p25,9,13
census,p25,10,15
census,p25,11,18
census,p25,12,20
census,p25,13,20
census,p25,14,20
census,p25,15,21
census,p25,16,22
census,p25,17,23
census,p25,18,24
census,p25,19,24
census,p25,20,25
census,p25,21,24
census,p25,22,23
census,p25,23,19.25
census,p75,0,28
census,p75,1,24
census,p75,2,22
census,p75,3,19
census,p75,4,16.75
census,p75,5,15
census,p75,6,14
census,p75,7,14
census,p75,8,16
census,p75,9,20
census,p75,10,24
census,p75,11,28
census,p75,12,29
census,p75,13,31
census,p75,14,31
census,p75,15,31
census,p75,16,32
census,p75,17,34
census,p75,18,35
census,p75,19,37
census,p75,20,36
census,p75,21,35
census,p75,22,33
census,p75,23,31
census,p95,0,36.55
census,p95,1,32.55
census,p95,2,28.55
census,p95,3,25
census,p95,4,23
census,p95,5,21
census,p95,6,19
census,p95,7,20
census,p95,8,23
census,p95,9,29
census,p95,10,32
census,p95,11,36
census,p95,12,40
census,p95,13,40.55
census,p95,14,41
census,p95,15,41.55
census,p95,16,44
census,p95,17,46.55
census,p95,18,46
census,p95,19,47
census,p95,20,47
census,p95,21,45.55
census,p95,22,44
census,p95,23,41
census,stdev,0,7.919979
census,stdev,1,7.116402
census,stdev,2,6.448623
census,stdev,3,5.630762
census,stdev,4,5.087463
census,stdev,5,4.790583
census,stdev,6,4.449982
census,stdev,7,4.498169
census,stdev,8,5.085757
census,stdev,9,6.206502
census,stdev,10,6.790352
census,stdev,11,7.538003
census,stdev,12,8.020881
census,stdev,13,8.029379
census,stdev,14,8.054851
census,stdev,15,8.010845
census,stdev,16,8.328116
census,stdev,17,8.753349
census,stdev,18,9.075522
census,stdev,19,9.300691
census,stdev,20,9.032884
census,stdev,21,8.72469
census,stdev,22,8.569322
census,stdev,23,8.271212
wr,mean,0,5.611429
wr,mean,1,4.1
wr,mean,2,3.185714
wr,mean,3,2.537143
wr,mean,4,1.891429
wr,mean,5,1.791429
wr,mean,6,1.965714
wr,mean,7,2.797143
wr,mean,8,4.482857
wr,mean,9,7.062857
wr,mean,10,8.177143
wr,mean,11,9.014286
wr,mean,12,9.434286
wr,mean,13,9.011429
wr,mean,14,9.065714
wr,mean,15,9.485714
wr,mean,16,10.014286
wr,mean,17,10.517143
wr,mean,18,10.817143
wr,mean,19,11.454286
wr,mean,20,11.057143
wr,mean,21,10.011429
wr,mean,22,8.711429
wr,mean,23,7.08
wr,median,0,5
wr,median,1,4
wr,median,2,3
wr,median,3,2
wr,median,4,1
wr,median,5,1
wr,median,6,2
wr,median,7,2
